x,y,yaw,ref_v
0.0,0.0,0.7853981633974483,14.142135623730951
0.523596383141958,0.5235892058122896,0.7853776012518457,14.141650987137883
1.0471784116245793,1.0471209941678479,0.7853159091774201,14.140197158409256
1.5707317311820672,1.5705379539064144,0.7852130702582109,14.137774380704347
2.0942419883356957,2.0937826864599813,0.7850690562905925,14.134383059313842
2.6176948307873147,2.616797812147191,0.7848838277677324,14.130023761697725
3.1410759078128283,3.139525976465668,0.784657333857817,14.124697217538417
3.664370870655627,3.661909856381584,0.7843895123760388,14.118404318809272
4.187565372919963,4.183892166615775,0.784080289750322,14.111146119858603
4.710645070964266,4.705415665925716,0.7837295809807735,14.102923837509314
5.233595624294383,5.226423163382672,0.783337289592831,14.093738851174445
5.756402695956727,5.746857524643329,0.7829033075840856,14.083592702988744
6.2790519529313364,6.266661678215211,0.7824275153647465,14.072487097956616
6.801529066524817,6.785778621715219,0.7819097816917171,14.060423904116657
7.323819712763167,7.304151428120579,0.7813499635962428,14.047405152723147
7.845909572784494,7.821723252011543,0.7807479063050945,14.033433038444818
8.367784333231548,8.338437335805112,0.7801034431552428,14.0185099195813
8.88942968664415,8.854237015979162,0.7794163955019772,14.002638318297617
9.410831331851432,9.36906572928623,0.7786865726204221,13.985820920877222
9.9319749743639,9.882867018956308,0.7779137716003985,13.968060577994038
10.452846326765346,10.395584540887965,0.7770977772345761,13.949360305003967
10.973431109104526,10.907162069827127,0.7762383618998582,13.929723282256484
11.49371504928666,11.417543505532786,0.7753352854319429,13.90915285542684
12.013683883464708,11.926672878929041,0.774388294992996,13.887652535869497
12.533323356430422,12.434494358242738,0.773397124932374,13.865226000993449
13.052619222005157,12.940952255126035,0.7723614966403296,13.841877094660077
13.571557243430437,13.445991030763283,0.7712811183946343,13.817609827604347
14.090123193758263,13.949555301961459,0.7701556852000496,13.79242837787994
14.60830285624116,14.451589847223579,0.7689848786205742,13.766337091329282
15.12608202472192,14.952039612804333,0.7677683666044006,13.739340482079154
15.643446504023087,15.450849718747373,0.7665058033015061,13.711443233062852
16.160382110336112,15.947965464903495,0.7651968288738098,13.682650196569707
16.676874671610225,16.44333233692916,0.7638410692978224,13.652966394822997
17.192910027940954,16.93689601226457,0.7624381361597194,13.622397020587115
17.70847403195833,17.42860236609076,0.7609876264427682,13.590947437805152
18.223552549214745,17.918397477265014,0.7594891223070395,13.5586231822678
18.73813145857246,18.406227634233897,0.7579421908613416,13.525429962314808
19.25219665259074,18.89203934092335,0.7563463839273087,13.491373659570025
19.765734037912612,19.375779322605144,0.7547012377955892,13.456460329711277
20.278729535651248,19.85739453173903,0.7530062729740755,13.420696203276247
20.79116908177593,20.33683215379001,0.7512609939281252,13.38408768650568
21.303038627497653,20.814039613020054,0.7494648888127305,13.346641362225132
21.81432413965425,21.28896457825363,0.747617429196596,13.30836399076669
22.325011601095134,21.761554968616373,0.745718069778095,13.269262510931991
22.83508701106557,22.23175895924637,0.7437662480930839,13.229344040998004
23.344536385590537,22.699524986977334,0.7417613842145622,13.18861587976699
23.853345757858087,23.164801755993086,0.7397028804441765,13.147085507662235
24.36150117860225,23.627538243452697,0.7375901209955834,13.10476058787099
24.868988716485475,24.08768370508576,0.7354224716696954,13.061648967536337
25.37579445848056,24.54518768075704,0.7331992795218535,13.017758678999467
25.881904510252074,25.0,0.7309198725209839,12.973097941094176
26.387304996537285,25.45207078751856,0.7285835592008215,12.927675160495136
26.89198206152657,25.90135046865651,0.7261896283032969,12.881498933121813
27.395921869243246,26.347789774833878,0.7237373484142136,12.83457804559969
27.89911060392292,26.791339748949827,0.7212259675913644,12.786921476780655
28.40153447039226,27.231951750751353,0.7186547129852675,12.738538399324359
28.903179694447157,27.6695774621672,0.7160227904527323,12.689438181342393
29.404032523230395,28.10416889260653,0.7133293841634979,12.639630388107161
29.904079225608665,28.535678384221587,0.710573656200231,12.589124783827348
30.403306092549027,28.96405861713394,0.7077547461522057,12.537931333491857
30.901699437494738,29.38926261462365,0.7048717707030305,12.486060204784163
31.39924559674049,29.811243748280784,0.7019238232128489,12.433521770068984
31.895930929806994,30.22995574311874,0.6989099732954772,12.380326608453151
32.39174181981494,30.64535268264882,0.6958292663910137,12.326485507922657
32.88666467385832,31.057389013915515,0.6926807233345099,12.272009467557657
33.380685923377094,31.466019552491876,0.6894633399213667,12.216909699827387
33.87379202452914,31.871199487434485,0.686176086470188,12.161197632966735
34.36596945856161,32.272884386197525,0.6828179073839102,12.104884913436278
34.857204732181515,32.67103019950527,0.6793877207101077,12.047983408467513
35.34748437792571,33.065593266182596,0.6758844177014708,11.990505208694845
35.83679495453002,33.45653031794291,0.6723068623775544,11.932462630876008
36.32512304729783,33.84379848413303,0.6686538910890023,11.873868220702239
36.812455268467794,34.22735529643443,0.6649243120855725,11.814734755699607
37.29877825758089,34.60715869352034,0.6611169050894137,11.755075248222706
37.78407868184671,34.983167025668266,0.6572304208751801,11.694902948541642
38.268343236508976,35.35533905932738,0.6532635808587186,11.63423134802327
38.751558645210295,35.72363398164017,0.6492150766962164,11.573074182407215
39.23371166035614,36.088011404918106,0.6450835698958698,11.51144543517713
39.71478906347806,36.448431371070576,0.6408676914443138,11.449359341027286
40.19477766559601,36.80485435598671,0.6365660414502411,11.386830389424322
40.67366430758001,37.1572412738697,0.6321771888078511,11.32387332826362
41.15143586051088,37.50555348152298,0.6276996708829854,11.260503167619436
41.62807922604011,37.849752782587814,0.6231319932250431,11.196735183587432
42.103581336749095,38.18980143173211,0.618472629308015,11.132584922217859
